#,Pattern,,Time (seconds),,,,Probability,Cumulative probability,Node map
,,,Absolute,vs. best,vs. mean,vs. median,,,
57,[2] N1 S4 S5 S6,3,35.374,10.967,-7.876,-6.865,0.013500 ,0.148359 ,
58,[34] N1 N2 S5 S4 N1 S1,0,35.515,11.108,-7.735,-6.724,0.002000 ,0.150859 ,
58,[34] N1 S4 S5 N2 N1 S1,0,35.515,11.108,-7.735,-6.724,0.000500 ,0.150859 ,
60,[8] N1 S8 N4 S2 S1,2,35.598,11.191,-7.652,-6.641,0.006750 ,0.157609 ,
61,[36] N1 S1 N4 S8 N1 S1,0,35.637,11.23,-7.613,-6.602,0.000500 ,0.158109 ,
62,[16] N1 N2 S5 S6 S7,1,35.695,11.288,-7.555,-6.544,0.009000 ,0.167109 ,
63,[17] N1 S1 N4 S2 S1,1,35.801,11.394,-7.449,-6.438,0.002250 ,0.170484 ,
63,[17] N1 S1 S2 N4 S1,1,35.801,11.394,-7.449,-6.438,0.001125 ,0.170484 ,
65,[37] N1 S1 N2 N5 N3 S2 S1,0,35.802,11.395,-7.448,-6.437,0.000063 ,0.170609 ,
65,[37] N1 S1 S2 N3 N5 N2 S1,0,35.802,11.395,-7.448,-6.437,0.000063 ,0.170609 ,
67,[9] N1 S1 N2 S5 S6,2,35.91,11.503,-7.34,-6.329,0.001688 ,0.172297 ,
68,[10] N1 S4 S5 N2 S1,2,36.227,11.82,-7.023,-6.012,0.006750 ,0.179047 ,
69,[11] N1 S8 N4 S1 S2,2,36.232,11.825,-7.018,-6.007,0.006750 ,0.185797 ,
70,[3] N1 S1 S2 N3 S7,3,36.245,11.838,-7.005,-5.994,0.003375 ,0.189172 ,
71,[4] N1 S1 S2 N3 S3,3,36.262,11.855,-6.988,-5.977,0.001688 ,0.190859 ,
72,[39] N1 S1 S2 N4 N6 S3,0,36.303,11.896,-6.947,-5.936,0.000500 ,0.191359 ,
73,[19] N1 N2 S1 N1 S4 S5,1,36.333,11.926,-6.917,-5.906,0.002250 ,0.198109 ,
73,[19] N1 S1 N2 N1 S4 S5,1,36.333,11.926,-6.917,-5.906,0.004500 ,0.198109 ,
75,[40] N1 S4 S5 N2 N1 S4,0,36.399,11.992,-6.851,-5.84,0.001000 ,0.199109 ,
76,[21] N1 N2 S1 S2 N3 S7,1,36.499,12.092,-6.751,-5.74,0.001125 ,0.200234 ,
77,[22] N1 N2 S1 S2 N3 S3,1,36.516,12.109,-6.734,-5.723,0.000563 ,0.202484 ,
77,[12] N1 S1 S2 N4 S8,2,36.516,12.109,-6.734,-5.723,0.001688 ,0.202484 ,
79,[41] N1 S1 N4 S8 N1 S4,0,36.521,12.114,-6.729,-5.718,0.001000 ,0.204484 ,
79,[41] N1 S8 N4 S1 N1 S4,0,36.521,12.114,-6.729,-5.718,0.001000 ,0.204484 ,
81,[13] N1 S1 S2 N3 N5 S5,2,36.655,12.248,-6.595,-5.584,0.000844 ,0.205328 ,
82,[23] N1 S1 N2 N5 S7 S6,1,36.663,12.256,-6.587,-5.576,0.000563 ,0.205891 ,
83,[43] N1 S4 S5 N2 N5 S5,0,36.756,12.349,-6.494,-5.483,0.000250 ,0.207141 ,
83,[43] N1 S4 S5 N5 N2 S5,0,36.756,12.349,-6.494,-5.483,0.001000 ,0.207141 ,
85,[45] N1 N2 S1 S2 N4 S8,0,36.77,12.363,-6.48,-5.469,0.000063 ,0.207203 ,
86,[14] N1 S4 S5 N5 S7,2,36.801,12.394,-6.449,-5.438,0.013500 ,0.220703 ,
87,[24] N1 S8 N4 S2 S3,1,36.834,12.427,-6.416,-5.405,0.004500 ,0.225203 ,
88,[25] N1 S1 N2 N5 S5 S4,1,36.837,12.43,-6.413,-5.402,0.000563 ,0.225766 ,
89,[46] N1 S1 N2 N1 S1 N2 S5,0,36.869,12.462,-6.381,-5.37,0.000031 ,0.225797 ,
90,[47] N1 N2 S1 S2 N3 N5 S5,0,36.909,12.502,-6.341,-5.33,0.000031 ,0.225828 ,
91,[48] N1 N2 S5 N5 S7 S6,0,36.952,12.545,-6.298,-5.287,0.000250 ,0.226078 ,
92,[49] N1 S1 N4 S2 S3,0,37.037,12.63,-6.213,-5.202,0.000500 ,0.226578 ,
93,[26] N1 N2 S5 S4 N1 S8,1,37.063,12.656,-6.187,-5.176,0.004500 ,0.233328 ,
93,[26] N1 S4 S5 N2 N1 S8,1,37.063,12.656,-6.187,-5.176,0.002250 ,0.233328 ,
95,[5] N1 N2 S1 S2 S3,3,37.161,12.754,-6.089,-5.078,0.000844 ,0.234172 ,
96,[28] N1 S8 N4 S1 N1 S8,1,37.185,12.778,-6.065,-5.054,0.002250 ,0.236422 ,
97,[50] N1 N2 N5 S5 S6 S7,0,37.239,12.832,-6.011,-5,0.000250 ,0.236672 ,
98,[51] N1 S1 S2 N3 N5 N2 S5,0,37.287,12.88,-5.963,-4.952,0.000063 ,0.236734 ,
99,[15] N1 S1 S2 N3 N5 S7,2,37.332,12.925,-5.918,-4.907,0.000844 ,0.237578 ,
100,[29] N1 S1 N2 S5 N5 S7,1,37.337,12.93,-5.913,-4.902,0.000281 ,0.237859 ,
101,[52] N1 S4 S5 N2 N5 S7,0,37.433,13.026,-5.817,-4.806,0.000250 ,0.238109 ,
102,[30] N1 S1 N2 N5 S5 S6,1,37.454,13.047,-5.796,-4.785,0.000281 ,0.238391 ,
103,[6] N1 S1 N2 N1 S1 S2,3,37.513,13.106,-5.737,-4.726,0.000422 ,0.238813 ,
104,[53] N1 N2 S1 S2 N3 N5 S7,0,37.586,13.179,-5.664,-4.653,0.000031 ,0.238844 ,
105,[31] N1 N2 S1 N1 N2 S1 S2,1,37.767,13.36,-5.483,-4.472,0.000070 ,0.238914 ,
106,[32] N1 S4 S5 N5 N2 S1,1,37.771,13.364,-5.479,-4.468,0.004500 ,0.243414 ,
107,[7] N1 S1 N2 S5 S4,3,37.793,13.386,-5.457,-4.446,0.001688 ,0.245102 ,
108,[33] N1 S4 S5 N5 N3 S2,1,37.855,13.448,-5.395,-4.384,0.002250 ,0.247352 ,
109,[54] N1 N2 N5 S7 S6 S5,0,37.916,13.509,-5.334,-4.323,0.000500 ,0.247852 ,
110,[55] N1 S8 N4 N6 S3 S2,0,37.921,13.514,-5.329,-4.318,0.002000 ,0.249852 ,
111,[34] N1 N2 S5 S4 N1 S1,1,38.015,13.608,-5.235,-4.224,0.009000 ,0.261102 ,
111,[34] N1 S4 S5 N2 N1 S1,1,38.015,13.608,-5.235,-4.224,0.002250 ,0.261102 ,
113,[56] N1 S8 N4 S1 N2 S5,0,38.088,13.681,-5.162,-4.151,0.000250 ,0.261352 ,
114,[8] N1 S8 N4 S2 S1,3,38.098,13.691,-5.152,-4.141,0.003375 ,0.264727 ,
115,[36] N1 S1 N4 S8 N1 S1,1,38.137,13.73,-5.113,-4.102,0.002250 ,0.266977 ,
116,[57] N1 N2 N5 S5 N2 S1 S2,0,38.19,13.783,-5.06,-4.049,0.000016 ,0.267055 ,
116,[57] N1 N2 S5 N5 N2 S1 S2,0,38.19,13.783,-5.06,-4.049,0.000063 ,0.267055 ,
118,[16] N1 N2 S5 S6 S7,2,38.195,13.788,-5.055,-4.044,0.013500 ,0.280555 ,
119,[17] N1 S1 N4 S2 S1,2,38.301,13.894,-4.949,-3.938,0.003375 ,0.285617 ,
119,[17] N1 S1 S2 N4 S1,2,38.301,13.894,-4.949,-3.938,0.001688 ,0.285617 ,
121,[37] N1 S1 N2 N5 N3 S2 S1,1,38.302,13.895,-4.948,-3.937,0.000281 ,0.286180 ,
121,[37] N1 S1 S2 N3 N5 N2 S1,1,38.302,13.895,-4.948,-3.937,0.000281 ,0.286180 ,
123,[59] N1 S1 N2 N5 S5 N2 S1,0,38.307,13.9,-4.943,-3.932,0.000016 ,0.286227 ,
123,[59] N1 S1 N2 S5 N5 N2 S1,0,38.307,13.9,-4.943,-3.932,0.000031 ,0.286227 ,
125,[61] N1 S1 N2 S5 N5 N3 S2,0,38.391,13.984,-4.859,-3.848,0.000016 ,0.286242 ,
126,[9] N1 S1 N2 S5 S6,3,38.41,14.003,-4.84,-3.829,0.000844 ,0.287086 ,
127,[62] N1 N2 S1 N4 S2 S1,0,38.555,14.148,-4.695,-3.684,0.000125 ,0.287273 ,
127,[62] N1 N2 S1 S2 N4 S1,0,38.555,14.148,-4.695,-3.684,0.000063 ,0.287273 ,
129,[64] N1 N2 S5 N5 N3 S2 S1,0,38.591,14.184,-4.659,-3.648,0.000063 ,0.287336 ,
130,[65] N1 N2 N5 S5 S4 N1 S8,0,38.607,14.2,-4.643,-3.632,0.000125 ,0.287961 ,
130,[65] N1 S4 S5 N5 N2 N1 S8,0,38.607,14.2,-4.643,-3.632,0.000500 ,0.287961 ,
132,[67] N1 S8 N4 S2 N3 S7,0,38.672,14.265,-4.578,-3.567,0.001000 ,0.288961 ,
133,[68] N1 S8 N4 S2 N3 S3,0,38.689,14.282,-4.561,-3.55,0.000500 ,0.289461 ,
134,[69] N1 N2 S1 N1 N2 S1 N1 S8,0,38.72,14.313,-4.53,-3.519,0.000004 ,0.289480 ,
134,[69] N1 S1 N2 N1 S1 N2 N1 S8,0,38.72,14.313,-4.53,-3.519,0.000016 ,0.289480 ,
136,[10] N1 S4 S5 N2 S1,3,38.727,14.32,-4.523,-3.512,0.003375 ,0.292855 ,
137,[11] N1 S8 N4 S1 S2,3,38.732,14.325,-4.518,-3.507,0.003375 ,0.296230 ,
138,[39] N1 S1 S2 N4 N6 S3,1,38.803,14.396,-4.447,-3.436,0.002250 ,0.298480 ,
139,[19] N1 N2 S1 N1 S4 S5,2,38.833,14.426,-4.417,-3.406,0.003375 ,0.308605 ,
139,[19] N1 S1 N2 N1 S4 S5,2,38.833,14.426,-4.417,-3.406,0.006750 ,0.308605 ,
141,[40] N1 S4 S5 N2 N1 S4,1,38.899,14.492,-4.351,-3.34,0.004500 ,0.313105 ,
142,[21] N1 N2 S1 S2 N3 S7,2,38.999,14.592,-4.251,-3.24,0.001688 ,0.314793 ,
143,[22] N1 N2 S1 S2 N3 S3,2,39.016,14.609,-4.234,-3.223,0.000844 ,0.316480 ,
143,[12] N1 S1 S2 N4 S8,3,39.016,14.609,-4.234,-3.223,0.000844 ,0.316480 ,
145,[41] N1 S1 N4 S8 N1 S4,1,39.021,14.614,-4.229,-3.218,0.004500 ,0.325480 ,
145,[41] N1 S8 N4 S1 N1 S4,1,39.021,14.614,-4.229,-3.218,0.004500 ,0.325480 ,
147,[71] N1 N2 N5 N3 S2 S1 N1 S8,0,39.138,14.731,-4.112,-3.101,0.000016 ,0.325527 ,
147,[71] N1 S1 S2 N3 N5 N2 N1 S8,0,39.138,14.731,-4.112,-3.101,0.000031 ,0.325527 ,
149,[13] N1 S1 S2 N3 N5 S5,3,39.155,14.748,-4.095,-3.084,0.000422 ,0.325949 ,
150,[23] N1 S1 N2 N5 S7 S6,2,39.163,14.756,-4.087,-3.076,0.000844 ,0.326793 ,
151,[43] N1 S4 S5 N2 N5 S5,1,39.256,14.849,-3.994,-2.983,0.001125 ,0.332418 ,
151,[43] N1 S4 S5 N5 N2 S5,1,39.256,14.849,-3.994,-2.983,0.004500 ,0.332418 ,
153,[45] N1 N2 S1 S2 N4 S8,1,39.27,14.863,-3.98,-2.969,0.000281 ,0.332699 ,
154,[14] N1 S4 S5 N5 S7,3,39.301,14.894,-3.949,-2.938,0.006750 ,0.339449 ,
155,[24] N1 S8 N4 S2 S3,2,39.334,14.927,-3.916,-2.905,0.006750 ,0.346199 ,
156,[25] N1 S1 N2 N5 S5 S4,2,39.337,14.93,-3.913,-2.902,0.000844 ,0.347043 ,
157,[46] N1 S1 N2 N1 S1 N2 S5,1,39.369,14.962,-3.881,-2.87,0.000141 ,0.347184 ,
158,[47] N1 N2 S1 S2 N3 N5 S5,1,39.409,15.002,-3.841,-2.83,0.000141 ,0.347324 ,
159,[48] N1 N2 S5 N5 S7 S6,1,39.452,15.045,-3.798,-2.787,0.001125 ,0.348449 ,
160,[49] N1 S1 N4 S2 S3,1,39.537,15.13,-3.713,-2.702,0.002250 ,0.350699 ,
161,[73] N1 S1 N2 N5 N3 S2 S3,0,39.538,15.131,-3.712,-2.701,0.000031 ,0.350730 ,
162,[74] N1 N2 N5 S5 S4 N1 S1,0,39.559,15.152,-3.691,-2.68,0.000250 ,0.351480 ,
162,[74] N1 S4 S5 N5 N2 N1 S1,0,39.559,15.152,-3.691,-2.68,0.000500 ,0.351480 ,
164,[26] N1 N2 S5 S4 N1 S8,2,39.563,15.156,-3.687,-2.676,0.006750 ,0.361605 ,
