#,Pattern,,Time (seconds),,,,Probability,Cumulative probability,Node map
,,,Absolute,vs. best,vs. mean,vs. median,,,
913,[243] N1 N2 S1 N4 S2 N3 N5 S7,1,52.716,28.309,9.466,10.477,0.000070 ,0.890579 ,
914,[303] N1 S1 N4 S2 N3 N5 N2 N1 S1,0,52.72,28.313,9.47,10.481,0.000016 ,0.890595 ,
915,[244] N1 N2 S1 N4 N6 S3 N3 S2,1,52.733,28.326,9.483,10.494,0.000281 ,0.890876 ,
916,[245] N1 N2 N5 S5 S4 N1 N2 N5 S5,1,52.842,28.435,9.592,10.603,0.000035 ,0.890911 ,
917,[163] N1 N2 N5 N3 S2 S1 N1 N2 S1,3,52.844,28.437,9.594,10.605,0.000013 ,0.890990 ,
917,[163] N1 N2 N5 N3 S2 S1 N2 N1 S1,3,52.844,28.437,9.594,10.605,0.000026 ,0.890990 ,
917,[163] N1 N2 S1 N1 N2 N5 N3 S2 S1,3,52.844,28.437,9.594,10.605,0.000013 ,0.890990 ,
917,[163] N1 N2 S1 S2 N3 N5 N2 N1 S1,3,52.844,28.437,9.594,10.605,0.000026 ,0.890990 ,
921,[207] N1 N2 N5 S5 N2 S1 N1 N2 S1,2,52.849,28.442,9.599,10.61,0.000007 ,0.891056 ,
921,[207] N1 N2 S1 N1 N2 N5 S5 N2 S1,2,52.849,28.442,9.599,10.61,0.000007 ,0.891056 ,
921,[207] N1 N2 S1 N1 N2 S5 N5 N2 S1,2,52.849,28.442,9.599,10.61,0.000026 ,0.891056 ,
921,[207] N1 N2 S5 N5 N2 S1 N1 N2 S1,2,52.849,28.442,9.599,10.61,0.000026 ,0.891056 ,
925,[167] N1 N2 N5 N3 S3 S2 S1,3,52.894,28.487,9.644,10.655,0.000105 ,0.891162 ,
926,[211] N1 N2 S1 N1 N2 S1 N4 S2,2,52.897,28.49,9.647,10.658,0.000053 ,0.891214 ,
927,[212] N1 N2 S1 N1 N2 S5 N5 N3 S2,2,52.933,28.526,9.683,10.694,0.000013 ,0.891228 ,
928,[246] N1 N2 S1 N1 N2 S1 N1 N2 N5 S5,1,52.955,28.548,9.705,10.716,0.000001 ,0.891229 ,
929,[213] N1 N2 S5 N5 N3 S3 S2,2,52.983,28.576,9.733,10.744,0.000211 ,0.891440 ,
930,[304] N1 N2 N5 S5 N2 N1 S1 N2 N1 S4,0,53.021,28.614,9.771,10.782,0.000002 ,0.891454 ,
930,[304] N1 N2 S1 N1 N2 N5 S5 N2 N1 S4,0,53.021,28.614,9.771,10.782,0.000001 ,0.891454 ,
930,[304] N1 N2 S1 N1 N2 S5 N5 N2 N1 S4,0,53.021,28.614,9.771,10.782,0.000004 ,0.891454 ,
930,[304] N1 N2 S5 N5 N2 N1 S1 N2 N1 S4,0,53.021,28.614,9.771,10.782,0.000008 ,0.891454 ,
934,[247] N1 N2 S5 S4 N1 N2 N5 N3 S2,1,53.029,28.622,9.779,10.79,0.000141 ,0.891595 ,
935,[308] N1 N2 N5 S7 N3 S2 N4 S1,0,53.032,28.625,9.782,10.793,0.000004 ,0.891599 ,
936,[214] N1 S1 N2 N5 S5 N2 N5 N3 S2,2,53.067,28.66,9.817,10.828,0.000013 ,0.891612 ,
937,[168] N1 N2 N5 S7 N7 S3 S2,3,53.141,28.734,9.891,10.902,0.000422 ,0.892034 ,
938,[309] N1 N2 N5 N3 S7 N5 N2 S1 S2,0,53.147,28.74,9.897,10.908,0.000008 ,0.892044 ,
938,[309] N1 N2 N5 S7 N3 N5 N2 S1 S2,0,53.147,28.74,9.897,10.908,0.000002 ,0.892044 ,
940,[248] N1 S1 N4 S8 N1 N2 N5 N3 S2,1,53.151,28.744,9.901,10.912,0.000070 ,0.892184 ,
940,[248] N1 S8 N4 S1 N1 N2 N5 N3 S2,1,53.151,28.744,9.901,10.912,0.000070 ,0.892184 ,
942,[169] N1 S8 N4 S2 N3 N5 N2 S1,3,53.229,28.822,9.979,10.99,0.000211 ,0.892395 ,
943,[311] N1 N2 S1 N1 N2 N5 N3 S7 S6,0,53.264,28.857,10.014,11.025,0.000008 ,0.892413 ,
943,[311] N1 S1 N2 N5 N3 S7 N5 N2 S1,0,53.264,28.857,10.014,11.025,0.000008 ,0.892413 ,
943,[311] N1 S1 N2 N5 S7 N3 N5 N2 S1,0,53.264,28.857,10.014,11.025,0.000002 ,0.892413 ,
946,[215] N1 N2 N5 S5 N2 N5 N3 S2 S1,2,53.267,28.86,10.017,11.028,0.000026 ,0.892439 ,
947,[250] N1 N2 N5 S5 N2 N5 S5 N2 S1,1,53.272,28.865,10.022,11.033,0.000004 ,0.892479 ,
947,[250] N1 N2 S5 N5 N2 S5 N5 N2 S1,1,53.272,28.865,10.022,11.033,0.000035 ,0.892479 ,
949,[216] N1 S8 N4 N6 S3 N3 S7,2,53.281,28.874,10.031,11.042,0.006750 ,0.899229 ,
950,[217] N1 N2 N5 N3 S2 N4 S1 S2,2,53.315,28.908,10.065,11.076,0.000053 ,0.899492 ,
950,[217] N1 N2 N5 N3 S2 S1 N4 S2,2,53.315,28.908,10.065,11.076,0.000211 ,0.899492 ,
952,[252] N1 N2 N5 N3 S2 S1 N2 N5 N3 S2,1,53.316,28.909,10.066,11.077,0.000009 ,0.899501 ,
953,[253] N1 N2 N5 S5 N2 S1 N4 S2,1,53.32,28.913,10.07,11.081,0.000035 ,0.899677 ,
953,[253] N1 N2 S5 N5 N2 S1 N4 S2,1,53.32,28.913,10.07,11.081,0.000141 ,0.899677 ,
955,[314] N1 S1 N2 N5 N3 S7 N5 N3 S2,0,53.348,28.941,10.098,11.109,0.000004 ,0.899681 ,
956,[315] N1 N2 N5 S5 N2 N1 S8 N4 S1,0,53.356,28.949,10.106,11.117,0.000008 ,0.899738 ,
956,[315] N1 N2 S5 N5 N2 N1 S8 N4 S1,0,53.356,28.949,10.106,11.117,0.000031 ,0.899738 ,
956,[255] N1 N2 S5 N5 N2 S5 N5 N3 S2,1,53.356,28.949,10.106,11.117,0.000018 ,0.899738 ,
959,[256] N1 N2 N5 N3 S2 S1 N1 N2 N5 S5,1,53.373,28.966,10.123,11.134,0.000004 ,0.899742 ,
960,[317] N1 N2 N5 S5 N2 N1 S1 N2 N5 S5,0,53.378,28.971,10.128,11.139,0.000000 ,0.900590 ,
960,[317] N1 N2 N5 S5 N2 S1 N1 N2 N5 S5,0,53.378,28.971,10.128,11.139,0.000000 ,0.900590 ,
960,[317] N1 N2 S1 N1 N2 N5 S5 N2 N5 S5,0,53.378,28.971,10.128,11.139,0.000000 ,0.900590 ,
960,[317] N1 N2 S5 N5 N2 N1 S1 N2 N5 S5,0,53.378,28.971,10.128,11.139,0.000002 ,0.900590 ,
960,[317] N1 N2 S5 N5 N2 S1 N1 N2 N5 S5,0,53.378,28.971,10.128,11.139,0.000001 ,0.900590 ,
960,[170] N1 N2 S1 N4 N6 S3 S2,3,53.378,28.971,10.128,11.139,0.000844 ,0.900590 ,
966,[257] N1 N2 N5 N3 S2 N4 S8 N1 S4,1,53.401,28.994,10.151,11.162,0.000070 ,0.900941 ,
966,[257] N1 S8 N4 S2 N3 N5 N2 N1 S4,1,53.401,28.994,10.151,11.162,0.000281 ,0.900941 ,
968,[219] N1 S1 N2 N5 N3 S2 N4 S1,2,53.432,29.025,10.182,11.193,0.000053 ,0.901205 ,
968,[219] N1 S1 N4 S2 N3 N5 N2 S1,2,53.432,29.025,10.182,11.193,0.000211 ,0.901205 ,
970,[322] N1 N2 N5 N3 S2 S3 N3 S7,0,53.468,29.061,10.218,11.229,0.000016 ,0.901252 ,
970,[322] N1 N2 N5 N3 S3 S2 N3 S7,0,53.468,29.061,10.218,11.229,0.000031 ,0.901252 ,
972,[259] N1 S1 N4 N6 S3 N3 S7,1,53.484,29.077,10.234,11.245,0.002250 ,0.903502 ,
973,[324] N1 N2 N5 N3 S3 S2 N3 S3,0,53.485,29.078,10.235,11.246,0.000016 ,0.903517 ,
974,[325] N1 N2 N5 N3 S3 N7 S7 S6,0,53.516,29.109,10.266,11.277,0.000125 ,0.903642 ,
975,[260] N1 N2 N5 S5 S4 N1 N2 N5 S7,1,53.519,29.112,10.269,11.28,0.000035 ,0.903677 ,
976,[326] N1 N2 N5 N3 S7 N5 N3 S2 S1,0,53.548,29.141,10.298,11.309,0.000008 ,0.903685 ,
977,[327] N1 N2 N5 N3 S2 N4 S1 N1 S4,0,53.604,29.197,10.354,11.365,0.000008 ,0.903724 ,
977,[327] N1 S1 N4 S2 N3 N5 N2 N1 S4,0,53.604,29.197,10.354,11.365,0.000031 ,0.903724 ,
979,[261] N1 N2 S1 N1 N2 S1 N1 N2 N5 S7,1,53.632,29.225,10.382,11.393,0.000001 ,0.903725 ,
980,[171] N1 N2 S1 N4 S8 N1 N2 S1,3,53.645,29.238,10.395,11.406,0.000105 ,0.903831 ,
981,[262] N1 S1 N2 N1 S1 N2 N5 N3 S7,1,53.649,29.242,10.399,11.41,0.000035 ,0.903866 ,
982,[263] N1 S1 N2 N1 S1 N2 N5 N3 S3,1,53.666,29.259,10.416,11.427,0.000018 ,0.903884 ,
983,[264] N1 N2 N5 S5 N2 N1 S1 N2 N1 S8,1,53.685,29.278,10.435,11.446,0.000004 ,0.903917 ,
983,[264] N1 N2 S1 N1 N2 N5 S5 N2 N1 S8,1,53.685,29.278,10.435,11.446,0.000002 ,0.903917 ,
983,[264] N1 N2 S1 N1 N2 S5 N5 N2 N1 S8,1,53.685,29.278,10.435,11.446,0.000009 ,0.903917 ,
983,[264] N1 N2 S5 N5 N2 N1 S1 N2 N1 S8,1,53.685,29.278,10.435,11.446,0.000018 ,0.903917 ,
987,[329] N1 N2 S1 N4 S2 N3 N5 N2 S1,0,53.686,29.279,10.436,11.447,0.000008 ,0.903924 ,
988,[268] N1 S8 N4 N6 S3 N3 N5 S5,1,53.691,29.284,10.441,11.452,0.000563 ,0.904487 ,
989,[269] N1 N2 S5 N5 N3 S2 N4 S1,1,53.721,29.314,10.471,11.482,0.000035 ,0.904522 ,
990,[172] N1 S1 N2 N5 S7 N3 S3,3,53.724,29.317,10.474,11.485,0.000105 ,0.904628 ,
991,[173] N1 N2 N5 N3 S2 S1 N2 N1 S4,3,53.728,29.321,10.478,11.489,0.000053 ,0.904733 ,
991,[173] N1 N2 S1 S2 N3 N5 N2 N1 S4,3,53.728,29.321,10.478,11.489,0.000053 ,0.904733 ,
993,[270] N1 N2 N5 S7 N3 S2 N4 S8,1,53.747,29.34,10.497,11.508,0.000018 ,0.904751 ,
994,[175] N1 N2 N5 S5 N2 N1 S4 S5,3,53.798,29.391,10.548,11.559,0.000211 ,0.906227 ,
994,[175] N1 N2 N5 S5 S4 N1 N2 S5,3,53.798,29.391,10.548,11.559,0.000211 ,0.906227 ,
994,[175] N1 N2 S5 N5 N2 N1 S4 S5,3,53.798,29.391,10.548,11.559,0.000844 ,0.906227 ,
994,[175] N1 N2 S5 S4 N1 N2 N5 S5,3,53.798,29.391,10.548,11.559,0.000211 ,0.906227 ,
998,[179] N1 S8 N4 S1 N2 N5 N3 S2,3,53.863,29.456,10.613,11.624,0.000105 ,0.906333 ,
999,[330] N1 S1 N4 N6 S3 N3 N5 S5,0,53.894,29.487,10.644,11.655,0.000063 ,0.906395 ,
1000,[271] N1 S1 N2 N5 N3 S3 N7 S7,1,53.901,29.494,10.651,11.662,0.000281 ,0.906676 ,
1001,[180] N1 N2 S1 N1 N2 S1 N1 N2 S5,3,53.911,29.504,10.661,11.672,0.000007 ,0.906683 ,
1002,[181] N1 S1 N4 S8 N1 N2 N5 S5,3,53.92,29.513,10.67,11.681,0.000105 ,0.906894 ,
1002,[181] N1 S8 N4 S1 N1 N2 N5 S5,3,53.92,29.513,10.67,11.681,0.000105 ,0.906894 ,
1004,[272] N1 S1 N2 N5 N3 S2 N4 N6 S3,1,53.934,29.527,10.684,11.695,0.000070 ,0.906964 ,
1005,[331] N1 N2 S1 N1 N2 S5 N5 N3 S7,0,53.938,29.531,10.688,11.699,0.000004 ,0.906968 ,
1006,[332] N1 N2 S1 N1 N2 S5 N5 N3 S3,0,53.955,29.548,10.705,11.716,0.000002 ,0.906970 ,
1007,[183] N1 N2 S5 N5 N3 S7 S6,3,54.011,29.604,10.761,11.772,0.000422 ,0.907392 ,
1008,[221] N1 N2 S5 N5 S7 N3 S3,2,54.013,29.606,10.763,11.774,0.000422 ,0.907814 ,
1009,[273] N1 N2 N5 N3 S2 S1 N1 N2 N5 S7,1,54.05,29.643,10.8,11.811,0.000004 ,0.907818 ,
1010,[333] N1 N2 N5 S5 N2 N1 S1 N2 N5 S7,0,54.055,29.648,10.805,11.816,0.000000 ,0.907822 ,
1010,[333] N1 N2 N5 S5 N2 S1 N1 N2 N5 S7,0,54.055,29.648,10.805,11.816,0.000000 ,0.907822 ,
1010,[333] N1 N2 S1 N1 N2 N5 S5 N2 N5 S7,0,54.055,29.648,10.805,11.816,0.000000 ,0.907822 ,
1010,[333] N1 N2 S5 N5 N2 N1 S1 N2 N5 S7,0,54.055,29.648,10.805,11.816,0.000002 ,0.907822 ,
1010,[333] N1 N2 S5 N5 N2 S1 N1 N2 N5 S7,0,54.055,29.648,10.805,11.816,0.000001 ,0.907822 ,
1015,[222] N1 S8 N4 S2 N3 N5 N2 N1 S8,2,54.065,29.658,10.815,11.826,0.000211 ,0.908033 ,
1016,[338] N1 S1 N2 N5 S5 N2 N5 N3 S7,0,54.072,29.665,10.822,11.833,0.000004 ,0.908037 ,
1017,[223] N1 N2 S1 N1 N2 N5 N3 S2 S3,2,54.08,29.673,10.83,11.841,0.000013 ,0.908050 ,
1018,[184] N1 N2 N5 N3 S2 S1 N2 N5 S5,3,54.085,29.678,10.835,11.846,0.000013 ,0.908063 ,
1019,[339] N1 S1 N2 N5 S5 N2 N5 N3 S3,0,54.089,29.682,10.839,11.85,0.000002 ,0.908065 ,
1020,[185] N1 S1 N2 N1 S1 N4 N6 S3,3,54.096,29.689,10.846,11.857,0.000422 ,0.908487 ,
1021,[340] N1 N2 N5 S5 N2 N5 S5 N2 N1 S8,0,54.108,29.701,10.858,11.869,0.000000 ,0.908492 ,
1021,[340] N1 N2 S5 N5 N2 S5 N5 N2 N1 S8,0,54.108,29.701,10.858,11.869,0.000004 ,0.908492 ,
1023,[274] N1 N2 S1 N1 N2 N5 S7 N7 S3,1,54.113,29.706,10.863,11.874,0.000018 ,0.908509 ,
1024,[224] N1 S1 N2 N5 N3 S7 N5 S5,2,54.117,29.71,10.867,11.878,0.000105 ,0.908641 ,
1024,[224] N1 S1 N2 N5 S7 N3 N5 S5,2,54.117,29.71,10.867,11.878,0.000026 ,0.908641 ,
1026,[186] N1 N2 N5 S5 N2 N5 S7 S6,3,54.128,29.721,10.878,11.889,0.000026 ,0.908667 ,
1027,[187] N1 N2 S1 N4 S2 N3 S7,3,54.129,29.722,10.879,11.89,0.000422 ,0.909089 ,
1028,[275] N1 S1 N2 N5 N3 S7 N7 S3,1,54.13,29.723,10.88,11.891,0.000281 ,0.909370 ,
1029,[188] N1 N2 S1 N4 S2 N3 S3,3,54.146,29.739,10.896,11.907,0.000211 ,0.909581 ,
1030,[189] N1 S1 N2 N5 N3 S2 N4 S8,3,54.147,29.74,10.897,11.908,0.000026 ,0.909608 ,
1031,[342] N1 N2 N5 N3 S2 S3 N6 N4 S8,0,54.17,29.763,10.92,11.931,0.000008 ,0.909616 ,
1032,[276] N1 N2 S1 N4 S8 N1 N2 N5 S5,1,54.174,29.767,10.924,11.935,0.000035 ,0.909651 ,
1033,[343] N1 N2 S5 N5 N3 S3 N7 S7,0,54.19,29.783,10.94,11.951,0.000063 ,0.909713 ,
1034,[344] N1 N2 S5 N5 N3 S2 N4 N6 S3,0,54.223,29.816,10.973,11.984,0.000016 ,0.909729 ,
1035,[277] N1 N2 N5 N3 S2 N4 S1 N1 S8,1,54.268,29.861,11.018,12.029,0.000018 ,0.909817 ,
1035,[277] N1 S1 N4 S2 N3 N5 N2 N1 S8,1,54.268,29.861,11.018,12.029,0.000070 ,0.909817 ,
1037,[345] N1 N2 N5 S5 N2 N1 S1 N4 S8,0,54.274,29.867,11.024,12.035,0.000004 ,0.909836 ,
1037,[345] N1 N2 S5 N5 N2 N1 S1 N4 S8,0,54.274,29.867,11.024,12.035,0.000016 ,0.909836 ,
1039,[190] N1 N2 N5 S5 N2 N5 S5 S4,3,54.302,29.895,11.052,12.063,0.000026 ,0.909863 ,
1040,[226] N1 N2 N5 N3 S2 S3 N7 S7,2,54.315,29.908,11.065,12.076,0.000422 ,0.910285 ,
1041,[191] N1 N2 N5 N3 S2 S1 N1 N2 S5,3,54.329,29.922,11.079,12.09,0.000026 ,0.910311 ,
1042,[192] N1 S1 N4 N6 S3 N7 S7,3,54.331,29.924,11.081,12.092,0.006750 ,0.917061 ,
1043,[227] N1 N2 N5 S5 N2 N1 S1 N2 S5,2,54.334,29.927,11.084,12.095,0.000013 ,0.917219 ,
1043,[227] N1 N2 N5 S5 N2 S1 N1 N2 S5,2,54.334,29.927,11.084,12.095,0.000013 ,0.917219 ,
1043,[227] N1 N2 S1 N1 N2 S5 N5 N2 S5,2,54.334,29.927,11.084,12.095,0.000026 ,0.917219 ,
1043,[227] N1 N2 S5 N5 N2 N1 S1 N2 S5,2,54.334,29.927,11.084,12.095,0.000053 ,0.917219 ,
1043,[227] N1 N2 S5 N5 N2 S1 N1 N2 S5,2,54.334,29.927,11.084,12.095,0.000053 ,0.917219 ,
1048,[279] N1 N2 S1 N1 N2 S1 N4 N6 S3,1,54.35,29.943,11.1,12.111,0.000070 ,0.917289 ,
1049,[280] N1 S8 N4 N6 S3 N3 N5 S7,1,54.368,29.961,11.118,12.129,0.000563 ,0.917852 ,
1050,[281] N1 N2 S5 N5 N3 S7 N5 S5,1,54.406,29.999,11.156,12.167,0.000070 ,0.917957 ,
1050,[281] N1 N2 S5 N5 S7 N3 N5 S5,1,54.406,29.999,11.156,12.167,0.000035 ,0.917957 ,
1052,[283] N1 N2 N5 S7 N3 N5 S7 S6,1,54.409,30.002,11.159,12.17,0.000035 ,0.917993 ,
1053,[347] N1 N2 S5 N5 N3 S7 N7 S3,0,54.419,30.012,11.169,12.18,0.000063 ,0.918055 ,
1054,[232] N1 N2 S5 N5 N3 S2 N4 S8,2,54.436,30.029,11.186,12.197,0.000053 ,0.918108 ,
1055,[193] N1 N2 S5 S4 N1 N2 N5 S7,3,54.475,30.068,11.225,12.236,0.000211 ,0.918319 ,
1056,[194] N1 S4 S5 N2 N5 N3 S7,3,54.492,30.085,11.242,12.253,0.000844 ,0.919162 ,
1057,[284] N1 N2 N5 S5 N2 N5 N3 S2 S3,1,54.503,30.096,11.253,12.264,0.000009 ,0.919171 ,
1058,[195] N1 S4 S5 N2 N5 N3 S3,3,54.509,30.102,11.259,12.27,0.000422 ,0.919593 ,
1059,[348] N1 N2 N5 S5 N2 N5 S7 N7 S3,0,54.536,30.129,11.286,12.297,0.000004 ,0.919597 ,
1060,[233] N1 N2 S1 N4 S2 N3 N5 S5,2,54.539,30.132,11.289,12.3,0.000105 ,0.919703 ,
1061,[196] N1 N2 S1 N1 N2 S1 N4 S8,3,54.563,30.156,11.313,12.324,0.000026 ,0.919729 ,
1062,[349] N1 S1 N4 N6 S3 N3 N5 S7,0,54.571,30.164,11.321,12.332,0.000063 ,0.919791 ,
1063,[350] N1 N2 N5 S5 S4 N1 N2 N5 N3 S2,0,54.573,30.166,11.323,12.334,0.000004 ,0.919795 ,
1064,[285] N1 N2 N5 N3 S7 N5 S5 S4,1,54.583,30.176,11.333,12.344,0.000141 ,0.919971 ,
1064,[285] N1 N2 N5 S7 N3 N5 S5 S4,1,54.583,30.176,11.333,12.344,0.000035 ,0.919971 ,
1066,[287] N1 N2 S1 N4 N6 S3 N7 S7,1,54.585,30.178,11.335,12.346,0.002250 ,0.922221 ,
1067,[197] N1 S1 N4 S8 N1 N2 N5 S7,3,54.597,30.19,11.347,12.358,0.000105 ,0.922432 ,
1067,[197] N1 S8 N4 S1 N1 N2 N5 S7,3,54.597,30.19,11.347,12.358,0.000105 ,0.922432 ,
1069,[288] N1 N2 N5 S5 N2 N1 S1 N2 N1 S1,1,54.637,30.23,11.387,12.398,0.000004 ,0.922465 ,
1069,[288] N1 N2 S1 N1 N2 N5 S5 N2 N1 S1,1,54.637,30.23,11.387,12.398,0.000002 ,0.922465 ,
1069,[288] N1 N2 S1 N1 N2 S5 N5 N2 N1 S1,1,54.637,30.23,11.387,12.398,0.000009 ,0.922465 ,
1069,[288] N1 N2 S5 N5 N2 N1 S1 N2 N1 S1,1,54.637,30.23,11.387,12.398,0.000018 ,0.922465 ,
1073,[351] N1 N2 S1 N1 N2 S1 N1 N2 N5 N3 S2,0,54.686,30.279,11.436,12.447,0.000000 ,0.922465 ,
1074,[199] N1 S8 N4 S2 N3 N5 N2 S5,3,54.714,30.307,11.464,12.475,0.000211 ,0.922676 ,
1075,[352] N1 N2 S1 N1 N2 N5 N3 S3 S2,0,54.736,30.329,11.486,12.497,0.000002 ,0.922678 ,
1076,[234] N1 N2 S1 N1 N2 N5 S7 N3 S2,2,54.744,30.337,11.494,12.505,0.000007 ,0.922685 ,
1077,[353] N1 S1 N2 N5 N3 S7 N5 N2 S5,0,54.749,30.342,11.499,12.51,0.000008 ,0.922694 ,
1077,[353] N1 S1 N2 N5 S7 N3 N5 N2 S5,0,54.749,30.342,11.499,12.51,0.000002 ,0.922694 ,
1079,[292] N1 N2 S5 N5 N2 S5 N5 N2 S5,1,54.757,30.35,11.507,12.518,0.000035 ,0.922729 ,
1080,[200] N1 N2 N5 N3 S2 S1 N2 N5 S7,3,54.762,30.355,11.512,12.523,0.000013 ,0.922743 ,
1081,[293] N1 N2 N5 N3 S2 S1 N4 N6 S3,1,54.768,30.361,11.518,12.529,0.000281 ,0.923024 ,
1082,[355] N1 N2 N5 S5 N2 S1 N4 N6 S3,0,54.773,30.366,11.523,12.534,0.000016 ,0.923102 ,
1082,[355] N1 N2 S5 N5 N2 S1 N4 N6 S3,0,54.773,30.366,11.523,12.534,0.000063 ,0.923102 ,
1084,[235] N1 N2 N5 S7 N3 S3 S2,2,54.794,30.387,11.544,12.555,0.000211 ,0.923339 ,
1084,[235] N1 S1 N2 N5 S7 N3 N5 S7,2,54.794,30.387,11.544,12.555,0.000026 ,0.923339 ,
1086,[201] N1 N2 S5 N5 N2 S5 N5 S7,3,54.802,30.395,11.552,12.563,0.000053 ,0.923392 ,
1087,[294] N1 N2 S1 N4 S8 N1 N2 N5 S7,1,54.851,30.444,11.601,12.612,0.000035 ,0.923427 ,
1088,[295] N1 S8 N4 S1 N2 N5 N3 S7,1,54.868,30.461,11.618,12.629,0.000281 ,0.923708 ,
1089,[296] N1 S8 N4 S1 N2 N5 N3 S3,1,54.885,30.478,11.635,12.646,0.000141 ,0.923849 ,
1090,[297] N1 N2 N5 S5 N2 N1 S8 N4 S2,1,54.905,30.498,11.655,12.666,0.000035 ,0.924025 ,
1090,[297] N1 N2 S5 N5 N2 N1 S8 N4 S2,1,54.905,30.498,11.655,12.666,0.000141 ,0.924025 ,
1092,[237] N1 S1 N4 S2 N3 N5 N2 S5,2,54.917,30.51,11.667,12.678,0.000211 ,0.924236 ,
1093,[202] N1 N2 N5 S5 N2 N5 S5 S6,3,54.919,30.512,11.669,12.68,0.000013 ,0.924249 ,
1094,[203] N1 N2 N5 N3 S2 S3 N3 S2,3,54.963,30.556,11.713,12.724,0.000026 ,0.924275 ,
1095,[204] N1 N2 N5 N3 S7 S6 S5,3,54.975,30.568,11.725,12.736,0.001688 ,0.925963 ,
1096,[205] N1 N2 N5 N3 S2 S1 N4 S8,3,54.981,30.574,11.731,12.742,0.000105 ,0.926068 ,
1097,[238] N1 N2 N5 S5 N2 S1 N4 S8,2,54.986,30.579,11.736,12.747,0.000053 ,0.926332 ,
1097,[238] N1 N2 S5 N5 N2 S1 N4 S8,2,54.986,30.579,11.736,12.747,0.000211 ,0.926332 ,
1099,[240] N1 N2 N5 S7 N7 S3 N3 S2,2,54.996,30.589,11.746,12.757,0.000105 ,0.926438 ,
1100,[357] N1 N2 N5 N3 S2 N4 N6 S3 S2,0,55.004,30.597,11.754,12.765,0.000016 ,0.926461 ,
1100,[357] N1 N2 N5 N3 S2 S3 N6 N4 S2,0,55.004,30.597,11.754,12.765,0.000008 ,0.926461 ,
1102,[241] N1 N2 N5 N3 S2 N4 S8 N1 S1,2,55.017,30.61,11.767,12.778,0.000053 ,0.926725 ,
1102,[241] N1 S8 N4 S2 N3 N5 N2 N1 S1,2,55.017,30.61,11.767,12.778,0.000211 ,0.926725 ,
1104,[359] N1 N2 N5 S5 N2 N5 S5 N2 N1 S1,0,55.06,30.653,11.81,12.821,0.000000 ,0.926729 ,
1104,[359] N1 N2 S5 N5 N2 S5 N5 N2 N1 S1,0,55.06,30.653,11.81,12.821,0.000004 ,0.926729 ,
1106,[299] N1 N2 S5 N5 S7 N3 N5 S7,1,55.083,30.676,11.833,12.844,0.000035 ,0.926764 ,
1107,[361] N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S2,0,55.104,30.697,11.854,12.865,0.000000 ,0.926765 ,
1108,[362] N1 N2 N5 S5 N2 N1 S1 N4 S2,0,55.108,30.701,11.858,12.869,0.000004 ,0.926784 ,
1108,[362] N1 N2 S5 N5 N2 N1 S1 N4 S2,0,55.108,30.701,11.858,12.869,0.000016 ,0.926784 ,
1110,[206] N1 N2 S1 N4 S8 N1 N2 S5,3,55.13,30.723,11.88,12.891,0.000211 ,0.926995 ,
1111,[300] N1 N2 N5 S5 N2 N5 S7 N3 S2,1,55.167,30.76,11.917,12.928,0.000004 ,0.927000 ,
1112,[364] N1 N2 N5 N3 S2 N4 S1 N2 S5,0,55.171,30.764,11.921,12.932,0.000002 ,0.927009 ,
1112,[364] N1 N2 S1 N4 S2 N3 N5 N2 S5,0,55.171,30.764,11.921,12.932,0.000008 ,0.927009 ,
1114,[366] N1 N2 N5 N3 S7 N7 S3 S2,0,55.2,30.793,11.95,12.961,0.000125 ,0.927222 ,
1114,[301] N1 N2 N5 N3 S7 N5 S5 S6,1,55.2,30.793,11.95,12.961,0.000070 ,0.927222 ,
1114,[301] N1 N2 N5 S7 N3 N5 S5 S6,1,55.2,30.793,11.95,12.961,0.000018 ,0.927222 ,
1117,[243] N1 N2 S1 N4 S2 N3 N5 S7,2,55.216,30.809,11.966,12.977,0.000105 ,0.927328 ,
1118,[303] N1 S1 N4 S2 N3 N5 N2 N1 S1,1,55.22,30.813,11.97,12.981,0.000070 ,0.927398 ,
1119,[244] N1 N2 S1 N4 N6 S3 N3 S2,2,55.233,30.826,11.983,12.994,0.000422 ,0.927820 ,
1120,[367] N1 N2 N5 N3 S2 N4 S8 N1 N2 S1,0,55.271,30.864,12.021,13.032,0.000002 ,0.927822 ,
1121,[368] N1 S8 N4 N6 S3 N3 N5 N2 S1,0,55.338,30.931,12.088,13.099,0.000063 ,0.927884 ,
1122,[245] N1 N2 N5 S5 S4 N1 N2 N5 S5,2,55.342,30.935,12.092,13.103,0.000053 ,0.927937 ,
1123,[207] N1 N2 N5 S5 N2 S1 N1 N2 S1,3,55.349,30.942,12.099,13.11,0.000003 ,0.927970 ,
1123,[207] N1 N2 S1 N1 N2 N5 S5 N2 S1,3,55.349,30.942,12.099,13.11,0.000003 ,0.927970 ,
1123,[207] N1 N2 S1 N1 N2 S5 N5 N2 S1,3,55.349,30.942,12.099,13.11,0.000013 ,0.927970 ,
1123,[207] N1 N2 S5 N5 N2 S1 N1 N2 S1,3,55.349,30.942,12.099,13.11,0.000013 ,0.927970 ,
1127,[211] N1 N2 S1 N1 N2 S1 N4 S2,3,55.397,30.99,12.147,13.158,0.000026 ,0.927996 ,
