#,Pattern,Time (msec),,,,Probability,Cumulative,
,,Absolute,vs. best,vs. mean,vs. median,,,
53,N1 S8 N4 N6 S3 S2,939366.6667,12800,-999.2269039,0,1 / 32,0.530517578,0.03125
54,N1 N2 S1 S2 N3 N5 S7,939400,12833.33333,-965.8935706,33.33333333,1 / 2048,0.531005859,0.000488281
55,N1 S8 N4 S1 N2 S5,939666.6667,13100,-699.2269039,300,1 / 256,0.534912109,0.00390625
56,N1 N2 N5 S7 S6 S5,939833.3333,13266.66667,-532.5602372,466.6666667,1 / 128,0.542724609,0.0078125
57,N1 N2 S1 N1 N2 S1 N1 S8,939833.3333,13266.66667,-532.5602372,466.6666667,1 / 16384,0.542785645,6.10352E-05
58,N1 N2 S5 N5 N2 S1 S2,940000,13433.33333,-365.8935706,633.3333333,1 / 1024,0.543762207,0.000976563
59,N1 N2 N5 S5 N2 S1 S2,940100,13533.33333,-265.8935706,733.3333333,1 / 4096,0.544006348,0.000244141
60,N1 S1 N2 N1 S1 N2 N1 S8,940100,13533.33333,-265.8935706,733.3333333,1 / 4096,0.544250488,0.000244141
61,N1 N2 N5 S5 S4 N1 S8,940266.6667,13700,-99.22690392,900,1 / 512,0.546203613,0.001953125
62,N1 S4 S5 N5 N2 N1 S8,940300,13733.33333,-65.89357058,933.3333333,1 / 128,0.554016113,0.0078125
63,N1 S8 N4 S2 N3 S3,940366.6667,13800,0.773096083,1000,1 / 128,0.561828613,0.0078125
64,N1 N2 S1 S2 N4 S1,940433.3333,13866.66667,67.43976275,1066.666667,1 / 1024,0.562805176,0.000976563
65,N1 S1 N2 N5 S5 N2 S1,940466.6667,13900,100.7730961,1100,1 / 4096,0.563049316,0.000244141
66,N1 S1 N2 S5 N5 N2 S1,940466.6667,13900,100.7730961,1100,1 / 2048,0.563537598,0.000488281
67,N1 N2 S1 N4 S2 S1,940466.6667,13900,100.7730961,1100,1 / 512,0.565490723,0.001953125
68,N1 N2 S5 N5 N3 S2 S1,940533.3333,13966.66667,167.4397628,1166.666667,1 / 1024,0.566467285,0.000976563
69,N1 S1 N2 S5 N5 N3 S2,940666.6667,14100,300.7730961,1300,1 / 4096,0.566711426,0.000244141
70,N1 S8 N4 S2 N3 S7,940700,14133.33333,334.1064294,1333.333333,1 / 64,0.582336426,0.015625
71,N1 N2 S1 N1 N2 S5 S4,940833.3333,14266.66667,467.4397628,1466.666667,1 / 1024,0.583312988,0.000976563
72,N1 S1 N2 N1 S1 N2 N1 S1,940933.3333,14366.66667,567.4397628,1566.666667,1 / 4096,0.583557129,0.000244141
73,N1 N2 N5 N3 S2 S1 N1 S8,940966.6667,14400,600.7730961,1600,1 / 4096,0.58380127,0.000244141
74,N1 N2 N5 S5 S4 N1 S1,941133.3333,14566.66667,767.4397628,1766.666667,1 / 256,0.58770752,0.00390625
75,N1 S1 S2 N3 N5 N2 N1 S8,941200,14633.33333,834.1064294,1833.333333,1 / 2048,0.588195801,0.000488281
76,N1 S4 S5 N5 N2 N1 S1,941200,14633.33333,834.1064294,1833.333333,1 / 128,0.596008301,0.0078125
77,N1 S8 N4 S1 N2 N1 S8,941200,14633.33333,834.1064294,1833.333333,1 / 512,0.597961426,0.001953125
78,N1 N2 S1 N1 S8 N4 S2,941233.3333,14666.66667,867.4397628,1866.666667,1 / 1024,0.598937988,0.000976563
79,N1 N2 S1 N1 N2 S1 N1 S4,941433.3333,14866.66667,1067.439763,2066.666667,1 / 8192,0.599060059,0.00012207
80,N1 S1 N2 N1 S8 N4 S2,941466.6667,14900,1100.773096,2100,1 / 512,0.601013184,0.001953125
81,N1 S1 N2 N1 S1 N2 N1 S4,941533.3333,14966.66667,1167.439763,2166.666667,1 / 2048,0.601501465,0.000488281
82,N1 S1 N2 S5 N5 N2 S5,941566.6667,15000,1200.773096,2200,1 / 2048,0.601989746,0.000488281
83,N1 S4 S5 N5 N2 N1 S4,941733.3333,15166.66667,1367.439763,2366.666667,1 / 64,0.617614746,0.015625
84,N1 N2 S5 S4 N1 N2 S1,941733.3333,15166.66667,1367.439763,2366.666667,1 / 256,0.621520996,0.00390625
85,N1 S8 N4 S1 N1 N2 S1,941900,15333.33333,1534.106429,2533.333333,1 / 512,0.623474121,0.001953125
86,N1 N2 S1 N1 N2 S5 S6,941933.3333,15366.66667,1567.439763,2566.666667,1 / 2048,0.623962402,0.000488281
87,N1 N2 S1 N1 S8 N4 S1,942033.3333,15466.66667,1667.439763,2666.666667,1 / 1024,0.624938965,0.000976563
88,N1 S1 S2 N3 N5 N2 N1 S1,942066.6667,15500,1700.773096,2700,1 / 2048,0.625427246,0.000488281
89,N1 S8 N4 S1 N2 N1 S1,942066.6667,15500,1700.773096,2700,1 / 512,0.627380371,0.001953125
90,N1 S1 N2 N5 N3 S2 S3,942133.3333,15566.66667,1767.439763,2766.666667,1 / 2048,0.627868652,0.000488281
91,N1 N2 S1 N4 S8 N1 S1,942166.6667,15600,1800.773096,2800,1 / 512,0.629821777,0.001953125
92,N1 S1 N2 N1 S8 N4 S1,942266.6667,15700,1900.773096,2900,1 / 512,0.631774902,0.001953125
93,N1 S1 N4 S8 N1 N2 S1,942266.6667,15700,1900.773096,2900,1 / 512,0.633728027,0.001953125
94,N1 S4 S5 N2 N5 N3 S2,942500,15933.33333,2134.106429,3133.333333,1 / 512,0.635681152,0.001953125
95,N1 N2 N5 S7 N3 S2 S1,942533.3333,15966.66667,2167.439763,3166.666667,1 / 2048,0.636169434,0.000488281
96,N1 S1 N4 N6 S3 S2,942566.6667,16000,2200.773096,3200,1 / 64,0.651794434,0.015625
97,N1 S1 S2 N3 N5 N2 N1 S4,942600,16033.33333,2234.106429,3233.333333,1 / 1024,0.652770996,0.000976563
98,N1 S1 N2 N5 S7 N3 S2,942633.3333,16066.66667,2267.439763,3266.666667,1 / 4096,0.653015137,0.000244141
99,N1 N2 N5 N3 S2 S1 N1 S4,942633.3333,16066.66667,2267.439763,3266.666667,1 / 2048,0.653503418,0.000488281
100,N1 S8 N4 S1 N2 N1 S4,942633.3333,16066.66667,2267.439763,3266.666667,1 / 256,0.657409668,0.00390625
101,N1 S1 N2 N1 S1 N2 N5 S5,942766.6667,16200,2400.773096,3400,1 / 8192,0.657531738,0.00012207
102,N1 N2 S1 N4 S8 N1 S4,942966.6667,16400,2600.773096,3600,1 / 256,0.661437988,0.00390625
103,N1 N2 S1 S2 N3 N5 N2 S1,943066.6667,16500,2700.773096,3700,1 / 4096,0.661682129,0.000244141
104,N1 S4 S5 N5 N3 S7,943066.6667,16500,2700.773096,3700,1 / 64,0.677307129,0.015625
105,N1 S4 S5 N5 N3 S3,943166.6667,16600,2800.773096,3800,1 / 128,0.685119629,0.0078125
106,N1 S1 N2 N1 S1 N4 S8,943200,16633.33333,2834.106429,3833.333333,1 / 1024,0.686096191,0.000976563
107,N1 N2 S1 S2 N4 N6 S3,943266.6667,16700,2900.773096,3900,1 / 512,0.688049316,0.001953125
108,N1 N2 S5 S4 N1 N2 S5,943266.6667,16700,2900.773096,3900,1 / 128,0.695861816,0.0078125
109,N1 N2 S5 N5 N2 S1 N1 S8,943300,16733.33333,2934.106429,3933.333333,1 / 4096,0.696105957,0.000244141
110,N1 N2 N5 S5 N2 S1 N1 S8,943400,16833.33333,3034.106429,4033.333333,1 / 16384,0.696166992,6.10352E-05
111,N1 S8 N4 S1 N1 N2 S5,943433.3333,16866.66667,3067.439763,4066.666667,1 / 256,0.700073242,0.00390625
112,N1 S1 N2 N1 S1 N2 N5 S7,943466.6667,16900,3100.773096,4100,1 / 8192,0.700195313,0.00012207
113,N1 S1 N2 N5 S5 N2 N1 S8,943566.6667,17000,3200.773096,4200,1 / 8192,0.700317383,0.00012207
114,N1 S1 N4 S2 N3 S3,943600,17033.33333,3234.106429,4233.333333,1 / 256,0.704223633,0.00390625
115,N1 S1 N2 S5 N5 N2 N1 S8,943600,17033.33333,3234.106429,4233.333333,1 / 4096,0.704467773,0.000244141
116,N1 S8 N4 S2 N3 N5 S5,943633.3333,17066.66667,3267.439763,4266.666667,1 / 512,0.706420898,0.001953125
117,N1 S8 N4 N6 S3 N3 S2,943766.6667,17200,3400.773096,4400,1 / 128,0.714233398,0.0078125
118,N1 S1 N4 S8 N1 N2 S5,943766.6667,17200,3400.773096,4400,1 / 256,0.718139648,0.00390625
119,N1 S8 N4 S1 N2 N5 S5,943866.6667,17300,3500.773096,4500,1 / 1024,0.719116211,0.000976563
120,N1 N2 S5 N5 N2 S5 S4,943866.6667,17300,3500.773096,4500,1 / 512,0.721069336,0.001953125
121,N1 S1 N4 S2 N3 S7,943933.3333,17366.66667,3567.439763,4566.666667,1 / 128,0.728881836,0.0078125
122,N1 N2 S5 N5 N2 N1 S1 S2,944066.6667,17500,3700.773096,4700,1 / 2048,0.729370117,0.000488281
123,N1 S1 N2 N5 S7 N7 S3,944100,17533.33333,3734.106429,4733.333333,1 / 1024,0.73034668,0.000976563
124,N1 S8 N4 S2 N3 N5 S7,944100,17533.33333,3734.106429,4733.333333,1 / 512,0.732299805,0.001953125
125,N1 N2 N5 S5 N2 N1 S1 S2,944100,17533.33333,3734.106429,4733.333333,1 / 8192,0.732421875,0.00012207
126,N1 N2 S1 S2 N3 N5 N2 S5,944166.6667,17600,3800.773096,4800,1 / 4096,0.732666016,0.000244141
127,N1 S1 N2 N1 S1 N4 S2,944366.6667,17800,4000.773096,5000,1 / 1024,0.733642578,0.000976563
128,N1 N2 S1 N4 S2 S3,944400,17833.33333,4034.106429,5033.333333,1 / 512,0.735595703,0.001953125
129,N1 S1 N2 N5 S5 N2 N1 S1,944466.6667,17900,4100.773096,5100,1 / 8192,0.735717773,0.00012207
130,N1 S1 N2 S5 N5 N2 N1 S1,944466.6667,17900,4100.773096,5100,1 / 4096,0.735961914,0.000244141
131,N1 S8 N4 S1 N2 N5 S7,944566.6667,18000,4200.773096,5200,1 / 1024,0.736938477,0.000976563
132,N1 N2 S5 N5 N3 S2 S3,944666.6667,18100,4300.773096,5300,1 / 2048,0.737426758,0.000488281
133,N1 N2 N5 N3 S2 S1 N2 S5,944700,18133.33333,4334.106429,5333.333333,1 / 4096,0.737670898,0.000244141
134,N1 N2 S5 N5 N2 S1 N1 S4,944900,18333.33333,4534.106429,5533.333333,1 / 2048,0.73815918,0.000488281
135,N1 N2 S5 N5 N2 S5 S6,944966.6667,18400,4600.773096,5600,1 / 1024,0.739135742,0.000976563
136,N1 N2 N5 S5 N2 S1 N1 S4,945000,18433.33333,4634.106429,5633.333333,1 / 8192,0.739257813,0.00012207
