#,Pattern,Time (msec),,,,Probability,Cumulative,
,,Absolute,vs. best,vs. mean,vs. median,,,
218,N1 N2 S1 N1 N2 S5 N5 N2 S5,950533.3333,23966.66667,10167.43976,11166.66667,1 / 16384,0.913284302,6.10352E-05
219,N1 N2 N5 N3 S2 N4 S1 S2,950566.6667,24000,10200.7731,11200,1 / 8192,0.913406372,0.00012207
220,N1 N2 S5 N5 S7 N3 S3,950800,24233.33333,10434.10643,11433.33333,1 / 1024,0.914382935,0.000976563
221,N1 S8 N4 S2 N3 N5 N2 N1 S8,950900,24333.33333,10534.10643,11533.33333,1 / 2048,0.914871216,0.000488281
222,N1 N2 S5 N5 N2 S1 N1 N2 S5,950933.3333,24366.66667,10567.43976,11566.66667,1 / 8192,0.914993286,0.00012207
223,N1 S1 N4 S2 N3 N5 N2 S1,951000,24433.33333,10634.10643,11633.33333,1 / 2048,0.915481567,0.000488281
224,N1 N2 N5 S5 N2 S1 N1 N2 S5,951033.3333,24466.66667,10667.43976,11666.66667,1 / 32768,0.915512085,3.05176E-05
225,N1 N2 S5 N5 N2 N1 S1 N2 S5,951033.3333,24466.66667,10667.43976,11666.66667,1 / 8192,0.915634155,0.00012207
226,N1 S1 N2 N5 N3 S7 N5 S5,951066.6667,24500,10700.7731,11700,1 / 4096,0.915878296,0.000244141
227,N1 N2 N5 S5 N2 N1 S1 N2 S5,951066.6667,24500,10700.7731,11700,1 / 32768,0.915908813,3.05176E-05
228,N1 S1 N2 N5 N3 S2 N4 S1,951133.3333,24566.66667,10767.43976,11766.66667,1 / 8192,0.916030884,0.00012207
229,N1 N2 S1 N1 N2 N5 N3 S2 S3,951133.3333,24566.66667,10767.43976,11766.66667,1 / 32768,0.916061401,3.05176E-05
230,N1 S1 N2 N5 S7 N3 N5 S5,951233.3333,24666.66667,10867.43976,11866.66667,1 / 16384,0.916122437,6.10352E-05
231,N1 N2 N5 N3 S2 S3 N7 S7,951600,25033.33333,11234.10643,12233.33333,1 / 1024,0.917098999,0.000976563
232,N1 N2 S1 N1 N2 N5 S7 N3 S2,951666.6667,25100,11300.7731,12300,1 / 65536,0.917114258,1.52588E-05
233,N1 N2 S5 N5 N3 S2 N4 S8,951700,25133.33333,11334.10643,12333.33333,1 / 8192,0.917236328,0.00012207
234,N1 S1 N2 N5 S7 N3 N5 S7,951700,25133.33333,11334.10643,12333.33333,1 / 16384,0.917297363,6.10352E-05
235,N1 N2 S1 N1 N2 S1 N1 N2 N5 S5,951733.3333,25166.66667,11367.43976,12366.66667,1 / 262144,0.917301178,3.8147E-06
236,N1 N2 N5 S7 N3 S3 S2,951766.6667,25200,11400.7731,12400,1 / 2048,0.917789459,0.000488281
237,N1 S8 N4 S2 N3 N5 N2 N1 S1,951800,25233.33333,11434.10643,12433.33333,1 / 2048,0.91827774,0.000488281
238,N1 N2 S5 N5 N2 S1 N4 S8,951833.3333,25266.66667,11467.43976,12466.66667,1 / 2048,0.918766022,0.000488281
239,N1 N2 S5 S4 N1 N2 N5 N3 S2,951866.6667,25300,11500.7731,12500,1 / 2048,0.919254303,0.000488281
240,N1 N2 N5 S5 N2 S1 N4 S8,951933.3333,25366.66667,11567.43976,12566.66667,1 / 8192,0.919376373,0.00012207
241,N1 N2 N5 S7 N7 S3 N3 S2,951933.3333,25366.66667,11567.43976,12566.66667,1 / 4096,0.919620514,0.000244141
242,N1 N2 N5 N3 S2 N4 S8 N1 S1,951966.6667,25400,11600.7731,12600,1 / 8192,0.919742584,0.00012207
243,N1 N2 N5 S5 S4 N1 N2 N5 S5,951966.6667,25400,11600.7731,12600,1 / 8192,0.919864655,0.00012207
244,N1 S8 N4 S1 N1 N2 N5 N3 S2,952033.3333,25466.66667,11667.43976,12666.66667,1 / 4096,0.920108795,0.000244141
245,N1 N2 S1 N4 S2 N3 N5 S5,952100,25533.33333,11734.10643,12733.33333,1 / 4096,0.920352936,0.000244141
246,N1 S1 N4 S2 N3 N5 N2 S5,952100,25533.33333,11734.10643,12733.33333,1 / 2048,0.920841217,0.000488281
247,N1 N2 S1 N4 N6 S3 N3 S2,952200,25633.33333,11834.10643,12833.33333,1 / 1024,0.92181778,0.000976563
248,N1 S8 N4 S2 N3 N5 N2 N1 S4,952333.3333,25766.66667,11967.43976,12966.66667,1 / 1024,0.922794342,0.000976563
249,N1 S1 N4 S8 N1 N2 N5 N3 S2,952400,25833.33333,12034.10643,13033.33333,1 / 4096,0.923038483,0.000244141
250,N1 N2 S1 N1 N2 S1 N1 N2 N5 S7,952433.3333,25866.66667,12067.43976,13066.66667,1 / 262144,0.923042297,3.8147E-06
251,N1 N2 S5 N5 N2 S5 N5 N2 S1,952466.6667,25900,12100.7731,13100,1 / 8192,0.923164368,0.00012207
252,N1 N2 N5 S5 N2 N5 S5 N2 S1,952533.3333,25966.66667,12167.43976,13166.66667,1 / 65536,0.923179626,1.52588E-05
253,N1 N2 S1 N4 S2 N3 N5 S7,952566.6667,26000,12200.7731,13200,1 / 4096,0.923423767,0.000244141
254,N1 N2 S1 N1 N2 N5 S5 N2 N1 S8,952566.6667,26000,12200.7731,13200,1 / 131072,0.923431396,7.62939E-06
255,N1 N2 S1 N1 N2 S5 N5 N2 N1 S8,952600,26033.33333,12234.10643,13233.33333,1 / 32768,0.923461914,3.05176E-05
256,N1 N2 S5 N5 N2 N1 S1 N2 N1 S8,952600,26033.33333,12234.10643,13233.33333,1 / 16384,0.923522949,6.10352E-05
257,N1 N2 N5 S5 N2 N1 S1 N2 N1 S8,952633.3333,26066.66667,12267.43976,13266.66667,1 / 65536,0.923538208,1.52588E-05
258,N1 N2 S5 N5 N2 S5 N5 N3 S2,952666.6667,26100,12300.7731,13300,1 / 16384,0.923599243,6.10352E-05
259,N1 N2 N5 S5 S4 N1 N2 N5 S7,952666.6667,26100,12300.7731,13300,1 / 8192,0.923721313,0.00012207
260,N1 N2 N5 N3 S2 N4 S8 N1 S4,952766.6667,26200,12400.7731,13400,1 / 4096,0.923965454,0.000244141
261,N1 S8 N4 N6 S3 N3 N5 S5,952766.6667,26200,12400.7731,13400,1 / 512,0.925918579,0.001953125
262,N1 S1 N2 N1 S1 N2 N5 N3 S7,952800,26233.33333,12434.10643,13433.33333,1 / 8192,0.926040649,0.00012207
263,N1 N2 N5 N3 S2 S1 N1 N2 N5 S5,952900,26333.33333,12534.10643,13533.33333,1 / 65536,0.926055908,1.52588E-05
264,N1 S1 N2 N1 S1 N2 N5 N3 S3,952900,26333.33333,12534.10643,13533.33333,1 / 16384,0.926116943,6.10352E-05
265,N1 N2 S5 N5 N2 S1 N4 S2,953000,26433.33333,12634.10643,13633.33333,1 / 2048,0.926605225,0.000488281
266,N1 S1 N4 N6 S3 N3 S7,953033.3333,26466.66667,12667.43976,13666.66667,1 / 128,0.934417725,0.0078125
267,N1 N2 N5 S5 N2 S1 N4 S2,953100,26533.33333,12734.10643,13733.33333,1 / 8192,0.934539795,0.00012207
268,N1 N2 S1 N1 N2 N5 S7 N7 S3,953133.3333,26566.66667,12767.43976,13766.66667,1 / 16384,0.93460083,6.10352E-05
269,N1 N2 N5 N3 S2 S1 N2 N5 N3 S2,953233.3333,26666.66667,12867.43976,13866.66667,1 / 32768,0.934631348,3.05176E-05
270,N1 N2 S1 N1 N2 S1 N4 N6 S3,953266.6667,26700,12900.7731,13900,1 / 4096,0.934875488,0.000244141
271,N1 S8 N4 N6 S3 N3 N5 S7,953266.6667,26700,12900.7731,13900,1 / 512,0.936828613,0.001953125
272,N1 S1 N2 N5 N3 S3 N7 S7,953300,26733.33333,12934.10643,13933.33333,1 / 1024,0.937805176,0.000976563
273,N1 N2 S1 N4 S8 N1 N2 N5 S5,953300,26733.33333,12934.10643,13933.33333,1 / 8192,0.937927246,0.00012207
274,N1 S1 N2 N5 N3 S7 N7 S3,953333.3333,26766.66667,12967.43976,13966.66667,1 / 1024,0.938903809,0.000976563
275,N1 N2 N5 S7 N3 N5 S7 S6,953433.3333,26866.66667,13067.43976,14066.66667,1 / 8192,0.939025879,0.00012207
276,N1 N2 S1 N1 N2 N5 S5 N2 N1 S1,953466.6667,26900,13100.7731,14100,1 / 131072,0.939033508,7.62939E-06
277,N1 N2 S1 N1 N2 S5 N5 N2 N1 S1,953466.6667,26900,13100.7731,14100,1 / 32768,0.939064026,3.05176E-05
278,N1 N2 S5 N5 N2 N1 S1 N2 N1 S1,953466.6667,26900,13100.7731,14100,1 / 16384,0.939125061,6.10352E-05
279,N1 N2 N5 S5 N2 N1 S1 N2 N1 S1,953500,26933.33333,13134.10643,14133.33333,1 / 65536,0.93914032,1.52588E-05
280,N1 N2 S5 N5 N2 S5 N5 N2 S5,953566.6667,27000,13200.7731,14200,1 / 8192,0.93926239,0.00012207
281,N1 N2 N5 N3 S2 S1 N1 N2 N5 S7,953600,27033.33333,13234.10643,14233.33333,1 / 65536,0.939277649,1.52588E-05
282,N1 N2 N5 N3 S7 N5 S5 S4,953600,27033.33333,13234.10643,14233.33333,1 / 2048,0.93976593,0.000488281
283,N1 N2 S5 N5 N3 S7 N5 S5,953633.3333,27066.66667,13267.43976,14266.66667,1 / 4096,0.940010071,0.000244141
284,N1 N2 S5 N5 S7 N3 N5 S5,953633.3333,27066.66667,13267.43976,14266.66667,1 / 8192,0.940132141,0.00012207
285,N1 N2 S5 N5 N3 S2 N4 S1,953666.6667,27100,13300.7731,14300,1 / 8192,0.940254211,0.00012207
286,N1 N2 N5 S7 N3 N5 S5 S4,953700,27133.33333,13334.10643,14333.33333,1 / 8192,0.940376282,0.00012207
287,N1 N2 N5 S7 N3 S2 N4 S8,953733.3333,27166.66667,13367.43976,14366.66667,1 / 16384,0.940437317,6.10352E-05
288,N1 S8 N4 S1 N2 N5 N3 S7,953900,27333.33333,13534.10643,14533.33333,1 / 1024,0.941413879,0.000976563
289,N1 N2 S1 N4 N6 S3 N7 S7,953933.3333,27366.66667,13567.43976,14566.66667,1 / 128,0.949226379,0.0078125
290,N1 S1 N2 N5 N3 S2 N4 N6 S3,953966.6667,27400,13600.7731,14600,1 / 4096,0.94947052,0.000244141
291,N1 N2 S1 N4 S8 N1 N2 N5 S7,953966.6667,27400,13600.7731,14600,1 / 8192,0.94959259,0.00012207
292,N1 N2 S5 N5 N2 N1 S8 N4 S2,953966.6667,27400,13600.7731,14600,1 / 2048,0.950080872,0.000488281
293,N1 S8 N4 S1 N2 N5 N3 S3,954000,27433.33333,13634.10643,14633.33333,1 / 2048,0.950569153,0.000488281
294,N1 N2 N5 S5 N2 N1 S8 N4 S2,954000,27433.33333,13634.10643,14633.33333,1 / 8192,0.950691223,0.00012207
295,N1 N2 S1 N1 N2 N5 S5 N2 N1 S4,954000,27433.33333,13634.10643,14633.33333,1 / 65536,0.950706482,1.52588E-05
296,N1 N2 S1 N1 N2 S5 N5 N2 N1 S4,954000,27433.33333,13634.10643,14633.33333,1 / 16384,0.950767517,6.10352E-05
297,N1 N2 S5 N5 N2 N1 S1 N2 N1 S4,954033.3333,27466.66667,13667.43976,14666.66667,1 / 8192,0.950889587,0.00012207
298,N1 N2 N5 S5 N2 N1 S1 N2 N1 S4,954066.6667,27500,13700.7731,14700,1 / 32768,0.950920105,3.05176E-05
299,N1 N2 N5 N3 S2 S1 N4 N6 S3,954100,27533.33333,13734.10643,14733.33333,1 / 1024,0.951896667,0.000976563
300,N1 N2 S5 N5 S7 N3 N5 S7,954100,27533.33333,13734.10643,14733.33333,1 / 8192,0.952018738,0.00012207
301,N1 S1 N4 S2 N3 N5 N2 N1 S8,954166.6667,27600,13800.7731,14800,1 / 4096,0.952262878,0.000244141
302,N1 N2 N5 S5 N2 N5 N3 S2 S3,954166.6667,27600,13800.7731,14800,1 / 32768,0.952293396,3.05176E-05
303,N1 N2 N5 N3 S7 N5 S5 S6,954400,27833.33333,14034.10643,15033.33333,1 / 4096,0.952537537,0.000244141
304,N1 N2 N5 S7 N3 N5 S5 S6,954533.3333,27966.66667,14167.43976,15166.66667,1 / 16384,0.952598572,6.10352E-05
305,N1 N2 S1 N1 N2 N5 N3 S7 S6,954633.3333,28066.66667,14267.43976,15266.66667,1 / 8192,0.952720642,0.00012207
306,N1 N2 N5 S5 N2 N5 S7 N3 S2,954733.3333,28166.66667,14367.43976,15366.66667,1 / 65536,0.952735901,1.52588E-05
307,N1 N2 S5 N5 N2 N1 S8 N4 S1,954766.6667,28200,14400.7731,15400,1 / 2048,0.953224182,0.000488281
308,N1 N2 N5 S5 N2 N1 S8 N4 S1,954800,28233.33333,14434.10643,15433.33333,1 / 8192,0.953346252,0.00012207
309,N1 N2 S1 N1 N2 N5 S5 N2 N5 S5,954800,28233.33333,14434.10643,15433.33333,1 / 262144,0.953350067,3.8147E-06
310,N1 N2 N5 S7 N3 N5 N2 S1 S2,954966.6667,28400,14600.7731,15600,1 / 32768,0.953380585,3.05176E-05
311,N1 N2 N5 N3 S7 N5 N2 S1 S2,955000,28433.33333,14634.10643,15633.33333,1 / 8192,0.953502655,0.00012207
312,N1 S1 N4 S2 N3 N5 N2 N1 S1,955033.3333,28466.66667,14667.43976,15666.66667,1 / 4096,0.953746796,0.000244141
313,N1 N2 S5 N5 N2 S1 N1 N2 N5 S5,955200,28633.33333,14834.10643,15833.33333,1 / 65536,0.953762054,1.52588E-05
314,N1 N2 S5 N5 N2 N1 S1 N2 N5 S5,955266.6667,28700,14900.7731,15900,1 / 32768,0.953792572,3.05176E-05
315,N1 N2 N5 S5 N2 N1 S1 N2 N5 S5,955300,28733.33333,14934.10643,15933.33333,1 / 131072,0.953800201,7.62939E-06
316,N1 N2 N5 S5 N2 S1 N1 N2 N5 S5,955300,28733.33333,14934.10643,15933.33333,1 / 262144,0.953804016,3.8147E-06
317,N1 N2 N5 N3 S3 N7 S7 S6,955300,28733.33333,14934.10643,15933.33333,1 / 512,0.955757141,0.001953125
318,N1 N2 N5 N3 S7 N5 N3 S2 S1,955300,28733.33333,14934.10643,15933.33333,1 / 8192,0.955879211,0.00012207
319,N1 N2 S1 N1 N2 S5 N5 N3 S7,955333.3333,28766.66667,14967.43976,15966.66667,1 / 16384,0.955940247,6.10352E-05
320,N1 S1 N2 N5 N3 S7 N5 N2 S1,955366.6667,28800,15000.7731,16000,1 / 8192,0.956062317,0.00012207
321,N1 S1 N2 N5 S7 N3 N5 N2 S1,955366.6667,28800,15000.7731,16000,1 / 32768,0.956092834,3.05176E-05
322,N1 S1 N2 N5 N3 S7 N5 N3 S2,955366.6667,28800,15000.7731,16000,1 / 16384,0.95615387,6.10352E-05
323,N1 N2 S1 N1 N2 S5 N5 N3 S3,955433.3333,28866.66667,15067.43976,16066.66667,1 / 32768,0.956184387,3.05176E-05
324,N1 N2 S1 N1 N2 N5 S5 N2 N5 S7,955500,28933.33333,15134.10643,16133.33333,1 / 262144,0.956188202,3.8147E-06
325,N1 N2 N5 N3 S3 S2 N3 S3,955533.3333,28966.66667,15167.43976,16166.66667,1 / 4096,0.956432343,0.000244141
326,N1 S1 N4 S2 N3 N5 N2 N1 S4,955566.6667,29000,15200.7731,16200,1 / 2048,0.956920624,0.000488281
327,N1 N2 S5 N5 N2 S5 N5 N2 N1 S8,955600,29033.33333,15234.10643,16233.33333,1 / 16384,0.956981659,6.10352E-05
328,N1 N2 N5 S5 N2 N5 S5 N2 N1 S8,955633.3333,29066.66667,15267.43976,16266.66667,1 / 131072,0.956989288,7.62939E-06
329,N1 N2 N5 N3 S2 N4 S1 N1 S4,955666.6667,29100,15300.7731,16300,1 / 8192,0.957111359,0.00012207
330,N1 N2 N5 S7 N3 S2 N4 S1,955700,29133.33333,15334.10643,16333.33333,1 / 16384,0.957172394,6.10352E-05
331,N1 N2 S5 N5 N2 N1 S1 N4 S8,955700,29133.33333,15334.10643,16333.33333,1 / 4096,0.957416534,0.000244141
332,N1 N2 N5 S5 N2 N1 S1 N4 S8,955733.3333,29166.66667,15367.43976,16366.66667,1 / 16384,0.95747757,6.10352E-05
333,N1 S1 N2 N5 S5 N2 N5 N3 S7,955833.3333,29266.66667,15467.43976,16466.66667,1 / 16384,0.957538605,6.10352E-05
334,N1 N2 N5 N3 S3 S2 N3 S7,955900,29333.33333,15534.10643,16533.33333,1 / 2048,0.958026886,0.000488281
335,N1 N2 S5 N5 N2 S1 N1 N2 N5 S7,955900,29333.33333,15534.10643,16533.33333,1 / 65536,0.958042145,1.52588E-05
336,N1 N2 S5 N5 N3 S3 N7 S7,955900,29333.33333,15534.10643,16533.33333,1 / 1024,0.959018707,0.000976563
337,N1 N2 S5 N5 N3 S7 N7 S3,955900,29333.33333,15534.10643,16533.33333,1 / 1024,0.95999527,0.000976563
338,N1 N2 N5 N3 S2 S3 N3 S7,955933.3333,29366.66667,15567.43976,16566.66667,1 / 4096,0.96023941,0.000244141
339,N1 S1 N2 N5 S5 N2 N5 N3 S3,955933.3333,29366.66667,15567.43976,16566.66667,1 / 32768,0.960269928,3.05176E-05
340,N1 S1 N4 N6 S3 N3 N5 S5,955966.6667,29400,15600.7731,16600,1 / 1024,0.96124649,0.000976563
341,N1 N2 S5 N5 N2 N1 S1 N2 N5 S7,955966.6667,29400,15600.7731,16600,1 / 32768,0.961277008,3.05176E-05
342,N1 N2 N5 S5 N2 N1 S1 N2 N5 S7,956000,29433.33333,15634.10643,16633.33333,1 / 131072,0.961284637,7.62939E-06
343,N1 N2 N5 S5 N2 S1 N1 N2 N5 S7,956000,29433.33333,15634.10643,16633.33333,1 / 262144,0.961288452,3.8147E-06
344,N1 N2 S1 N1 N2 S1 N1 N2 N5 N3 S2,956066.6667,29500,15700.7731,16700,1 / 524288,0.961290359,1.90735E-06
345,N1 N2 N5 S5 N2 N5 S7 N7 S3,956200,29633.33333,15834.10643,16833.33333,1 / 16384,0.961351395,6.10352E-05
346,N1 N2 S1 N4 S2 N3 N5 N2 S1,956233.3333,29666.66667,15867.43976,16866.66667,1 / 8192,0.961473465,0.00012207
347,N1 N2 S1 N1 N2 N5 N3 S3 S2,956233.3333,29666.66667,15867.43976,16866.66667,1 / 32768,0.961503983,3.05176E-05
348,N1 N2 N5 S5 S4 N1 N2 N5 N3 S2,956300,29733.33333,15934.10643,16933.33333,1 / 16384,0.961565018,6.10352E-05
349,N1 N2 N5 N3 S2 S3 N6 N4 S8,956433.3333,29866.66667,16067.43976,17066.66667,1 / 8192,0.961687088,0.00012207
350,N1 S1 N4 N6 S3 N3 N5 S7,956466.6667,29900,16100.7731,17100,1 / 1024,0.962663651,0.000976563
351,N1 S1 N2 N5 N3 S7 N5 N2 S5,956466.6667,29900,16100.7731,17100,1 / 8192,0.962785721,0.00012207
352,N1 S1 N2 N5 S7 N3 N5 N2 S5,956466.6667,29900,16100.7731,17100,1 / 32768,0.962816238,3.05176E-05
353,N1 N2 S5 N5 N3 S2 N4 N6 S3,956500,29933.33333,16134.10643,17133.33333,1 / 4096,0.963060379,0.000244141
354,N1 N2 S5 N5 N2 S5 N5 N2 N1 S1,956500,29933.33333,16134.10643,17133.33333,1 / 16384,0.963121414,6.10352E-05
355,N1 N2 N5 S5 N2 N5 S5 N2 N1 S1,956533.3333,29966.66667,16167.43976,17166.66667,1 / 131072,0.963129044,7.62939E-06
356,N1 N2 S5 N5 N2 S1 N4 N6 S3,956733.3333,30166.66667,16367.43976,17366.66667,1 / 1024,0.964105606,0.000976563
357,N1 N2 N5 S5 N2 S1 N4 N6 S3,956833.3333,30266.66667,16467.43976,17466.66667,1 / 4096,0.964349747,0.000244141
358,N1 N2 N5 N3 S7 N7 S3 S2,956833.3333,30266.66667,16467.43976,17466.66667,1 / 512,0.966302872,0.001953125
359,N1 N2 S5 N5 N2 N1 S1 N4 S2,956866.6667,30300,16500.7731,17500,1 / 4096,0.966547012,0.000244141
360,N1 N2 N5 S5 N2 N1 S1 N4 S2,956900,30333.33333,16534.10643,17533.33333,1 / 16384,0.966608047,6.10352E-05
361,N1 S8 N4 N6 S3 N3 N5 N2 S1,956900,30333.33333,16534.10643,17533.33333,1 / 1024,0.96758461,0.000976563
362,N1 N2 S5 N5 N2 S5 N5 N2 N1 S4,957033.3333,30466.66667,16667.43976,17666.66667,1 / 8192,0.96770668,0.00012207
363,N1 N2 N5 S5 N2 N5 S5 N2 N1 S4,957066.6667,30500,16700.7731,17700,1 / 65536,0.967721939,1.52588E-05
364,N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S2,957233.3333,30666.66667,16867.43976,17866.66667,1 / 131072,0.967729568,7.62939E-06
365,N1 N2 N5 N3 S2 N4 S8 N1 N2 S1,957300,30733.33333,16934.10643,17933.33333,1 / 32768,0.967760086,3.05176E-05
366,N1 N2 S1 N4 S2 N3 N5 N2 S5,957333.3333,30766.66667,16967.43976,17966.66667,1 / 8192,0.967882156,0.00012207
367,N1 N2 S1 N1 N2 N5 S7 N3 S3,957433.3333,30866.66667,17067.43976,18066.66667,1 / 32768,0.967912674,3.05176E-05
368,N1 N2 N5 N3 S2 S3 N6 N4 S2,957466.6667,30900,17100.7731,18100,1 / 8192,0.968034744,0.00012207
369,N1 N2 N5 N3 S2 N4 N6 S3 S2,957500,30933.33333,17134.10643,18133.33333,1 / 4096,0.968278885,0.000244141
370,N1 N2 S5 S4 N1 N2 N5 N3 S7,957566.6667,31000,17200.7731,18200,1 / 1024,0.969255447,0.000976563
371,N1 N2 S1 N4 S8 N1 N2 N5 N3 S2,957633.3333,31066.66667,17267.43976,18266.66667,1 / 16384,0.969316483,6.10352E-05
372,N1 N2 S5 S4 N1 N2 N5 N3 S3,957666.6667,31100,17300.7731,18300,1 / 2048,0.969804764,0.000488281
373,N1 N2 N5 S5 N2 N5 N3 S7 S6,957700,31133.33333,17334.10643,18333.33333,1 / 8192,0.969926834,0.00012207
374,N1 N2 S5 N5 N2 N1 S8 N4 N6 S3,957733.3333,31166.66667,17367.43976,18366.66667,1 / 1024,0.970903397,0.000976563
375,N1 S8 N4 S1 N1 N2 N5 N3 S7,957733.3333,31166.66667,17367.43976,18366.66667,1 / 2048,0.971391678,0.000488281
376,N1 N2 S5 N5 S7 N3 N5 N2 S1,957766.6667,31200,17400.7731,18400,1 / 16384,0.971452713,6.10352E-05
377,N1 N2 N5 S5 N2 N1 S8 N4 N6 S3,957766.6667,31200,17400.7731,18400,1 / 4096,0.971696854,0.000244141
378,N1 N2 N5 S7 N3 S3 N7 S7,957833.3333,31266.66667,17467.43976,18466.66667,1 / 1024,0.972673416,0.000976563
379,N1 S8 N4 S1 N1 N2 N5 N3 S3,957833.3333,31266.66667,17467.43976,18466.66667,1 / 4096,0.972917557,0.000244141
380,N1 N2 N5 N3 S7 N5 S5 N2 S1,957866.6667,31300,17500.7731,18500,1 / 16384,0.972978592,6.10352E-05
381,N1 N2 N5 S5 N2 N5 S5 N2 N5 S5,957866.6667,31300,17500.7731,18500,1 / 262144,0.972982407,3.8147E-06
382,N1 N2 N5 N3 S2 N4 S1 N2 S5,957900,31333.33333,17534.10643,18533.33333,1 / 32768,0.973012924,3.05176E-05
383,N1 N2 S5 N5 N3 S7 N5 N3 S2,957900,31333.33333,17534.10643,18533.33333,1 / 16384,0.973073959,6.10352E-05
384,N1 N2 S5 N5 N3 S7 N5 N2 S1,957933.3333,31366.66667,17567.43976,18566.66667,1 / 8192,0.97319603,0.00012207
385,N1 N2 N5 S7 N7 S3 N3 S7,957966.6667,31400,17600.7731,18600,1 / 2048,0.973684311,0.000488281
386,N1 N2 N5 S7 N3 N5 S5 N2 S1,957966.6667,31400,17600.7731,18600,1 / 65536,0.97369957,1.52588E-05
387,N1 S8 N4 N6 S3 N3 N5 N2 S5,958033.3333,31466.66667,17667.43976,18666.66667,1 / 1024,0.974676132,0.000976563
388,N1 S1 N4 S8 N1 N2 N5 N3 S7,958100,31533.33333,17734.10643,18733.33333,1 / 2048,0.975164413,0.000488281
389,N1 N2 S1 N1 N2 N5 N3 S2 N4 S8,958166.6667,31600,17800.7731,18800,1 / 131072,0.975172043,7.62939E-06
390,N1 N2 N5 N3 S3 S2 N4 S8,958166.6667,31600,17800.7731,18800,1 / 8192,0.975294113,0.00012207
391,N1 S1 N2 N5 N3 S3 N6 N4 S8,958200,31633.33333,17834.10643,18833.33333,1 / 8192,0.975416183,0.00012207
392,N1 S1 N4 S8 N1 N2 N5 N3 S3,958200,31633.33333,17834.10643,18833.33333,1 / 4096,0.975660324,0.000244141
393,N1 N2 S1 N4 N6 S3 N3 S7,958266.6667,31700,17900.7731,18900,1 / 512,0.977613449,0.001953125
394,N1 N2 N5 S7 N3 N5 N2 S1 N1 S8,958266.6667,31700,17900.7731,18900,1 / 131072,0.977621078,7.62939E-06
395,N1 N2 N5 N3 S2 S3 N6 N4 S1,958366.6667,31800,18000.7731,19000,1 / 4096,0.977865219,0.000244141
396,N1 N2 S5 N5 N2 S5 N5 N3 S7,958366.6667,31800,18000.7731,19000,1 / 8192,0.977987289,0.00012207
397,N1 N2 S5 N5 N2 S5 N5 N3 S3,958466.6667,31900,18100.7731,19100,1 / 16384,0.978048325,6.10352E-05
398,N1 S1 N2 N5 S7 N3 N5 N2 N1 S8,958500,31933.33333,18134.10643,19133.33333,1 / 65536,0.978063583,1.52588E-05
399,N1 N2 N5 S7 N3 S2 N4 N6 S3,958533.3333,31966.66667,18167.43976,19166.66667,1 / 8192,0.978185654,0.00012207
400,N1 S1 N2 N5 N3 S7 N5 N2 N1 S8,958533.3333,31966.66667,18167.43976,19166.66667,1 / 16384,0.978246689,6.10352E-05
401,N1 N2 N5 S7 N7 S3 N6 N4 S8,958566.6667,32000,18200.7731,19200,1 / 4096,0.978490829,0.000244141
402,N1 N2 N5 S5 N2 N5 S5 N2 N5 S7,958566.6667,32000,18200.7731,19200,1 / 262144,0.978494644,3.8147E-06
403,N1 N2 N5 N3 S2 N4 S8 N1 N2 S5,958800,32233.33333,18434.10643,19433.33333,1 / 16384,0.978555679,6.10352E-05
404,N1 N2 N5 N3 S3 S2 N3 N5 S5,958833.3333,32266.66667,18467.43976,19466.66667,1 / 16384,0.978616714,6.10352E-05
405,N1 N2 N5 S7 N3 N5 N2 S5 S4,958833.3333,32266.66667,18467.43976,19466.66667,1 / 16384,0.97867775,6.10352E-05
406,N1 N2 S5 N5 S7 N3 N5 N2 S5,958866.6667,32300,18500.7731,19500,1 / 16384,0.978738785,6.10352E-05
407,N1 N2 N5 N3 S7 N5 N2 S5 S4,958866.6667,32300,18500.7731,19500,1 / 4096,0.978982925,0.000244141
408,N1 N2 N5 N3 S2 S3 N3 N5 S5,958900,32333.33333,18534.10643,19533.33333,1 / 32768,0.979013443,3.05176E-05
409,N1 N2 N5 N3 S2 S1 N2 N5 N3 S7,958933.3333,32366.66667,18567.43976,19566.66667,1 / 16384,0.979074478,6.10352E-05
410,N1 N2 N5 N3 S2 S1 N2 N5 N3 S3,959033.3333,32466.66667,18667.43976,19666.66667,1 / 32768,0.979104996,3.05176E-05
411,N1 N2 N5 S7 N3 N5 N2 N1 S1 S2,959033.3333,32466.66667,18667.43976,19666.66667,1 / 65536,0.979120255,1.52588E-05
412,N1 N2 S5 N5 N3 S7 N5 N2 S5,959033.3333,32466.66667,18667.43976,19666.66667,1 / 8192,0.979242325,0.00012207
413,N1 N2 N5 N3 S7 N5 N2 N1 S1 S2,959066.6667,32500,18700.7731,19700,1 / 16384,0.97930336,6.10352E-05
414,N1 N2 N5 N3 S3 N6 N4 S2 S1,959166.6667,32600,18800.7731,19800,1 / 8192,0.97942543,0.00012207
415,N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S2,959166.6667,32600,18800.7731,19800,1 / 524288,0.979427338,1.90735E-06
416,N1 S1 N2 N5 N3 S3 N6 N4 S2,959233.3333,32666.66667,18867.43976,19866.66667,1 / 8192,0.979549408,0.00012207
